cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs
Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [====>............................................................] 4/40   Step: 422ms | Tot: 1s257ms | Loss: 1.195 | Acc: 72.656% (744/1024)              
 [======>..........................................................] 5/40   Step: 418ms | Tot: 1s676ms | Loss: 1.252 | Acc: 71.875% (920/1280)              
 [========>........................................................] 6/40   Step: 418ms | Tot: 2s94ms | Loss: 1.268 | Acc: 71.940% (1105/1536)              
 [=========>.......................................................] 7/40   Step: 518ms | Tot: 2s612ms | Loss: 1.300 | Acc: 71.373% (1279/1792)              
 [===========>.....................................................] 8/40   Step: 418ms | Tot: 3s30ms | Loss: 1.295 | Acc: 71.387% (1462/2048)              
 [=============>...................................................] 9/40   Step: 417ms | Tot: 3s448ms | Loss: 1.297 | Acc: 71.354% (1644/2304)              
 [==============>..................................................] 10/40   Step: 417ms | Tot: 3s866ms | Loss: 1.291 | Acc: 71.406% (1828/2560)              
 [================>................................................] 11/40   Step: 433ms | Tot: 4s299ms | Loss: 1.290 | Acc: 71.378% (2010/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s716ms | Loss: 1.299 | Acc: 71.191% (2187/3072)              
 [===================>.............................................] 13/40   Step: 517ms | Tot: 5s233ms | Loss: 1.296 | Acc: 71.064% (2365/3328)              
 [=====================>...........................................] 14/40   Step: 416ms | Tot: 5s650ms | Loss: 1.305 | Acc: 70.926% (2542/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s68ms | Loss: 1.294 | Acc: 71.120% (2731/3840)              
 [========================>........................................] 16/40   Step: 416ms | Tot: 6s485ms | Loss: 1.297 | Acc: 71.021% (2909/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 6s901ms | Loss: 1.300 | Acc: 71.002% (3090/4352)              
 [===========================>.....................................] 18/40   Step: 517ms | Tot: 7s419ms | Loss: 1.301 | Acc: 70.942% (3269/4608)              
 [=============================>...................................] 19/40   Step: 418ms | Tot: 7s838ms | Loss: 1.301 | Acc: 70.765% (3442/4864)              
 [==============================>..................................] 20/40   Step: 426ms | Tot: 8s264ms | Loss: 1.289 | Acc: 70.977% (3634/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s681ms | Loss: 1.288 | Acc: 71.094% (3822/5376)              
 [==================================>..............................] 22/40   Step: 416ms | Tot: 9s98ms | Loss: 1.281 | Acc: 71.254% (4013/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s514ms | Loss: 1.293 | Acc: 71.179% (4191/5888)              
 [=====================================>...........................] 24/40   Step: 514ms | Tot: 10s28ms | Loss: 1.294 | Acc: 71.061% (4366/6144)              
 [=======================================>.........................] 25/40   Step: 416ms | Tot: 10s445ms | Loss: 1.291 | Acc: 71.047% (4547/6400)              
 [========================================>........................] 26/40   Step: 415ms | Tot: 10s860ms | Loss: 1.289 | Acc: 70.959% (4723/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s276ms | Loss: 1.292 | Acc: 70.848% (4897/6912)              
 [===========================================>.....................] 28/40   Step: 415ms | Tot: 11s692ms | Loss: 1.285 | Acc: 70.996% (5089/7168)              
 [=============================================>...................] 29/40   Step: 517ms | Tot: 12s209ms | Loss: 1.280 | Acc: 71.094% (5278/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s624ms | Loss: 1.279 | Acc: 71.146% (5464/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s40ms | Loss: 1.279 | Acc: 71.157% (5647/7936)              
 [==================================================>..............] 32/40   Step: 418ms | Tot: 13s459ms | Loss: 1.277 | Acc: 71.216% (5834/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 13s875ms | Loss: 1.276 | Acc: 71.141% (6010/8448)              
 [=====================================================>...........] 34/40   Step: 428ms | Tot: 14s304ms | Loss: 1.282 | Acc: 71.048% (6184/8704)              
 [=======================================================>.........] 35/40   Step: 513ms | Tot: 14s818ms | Loss: 1.280 | Acc: 71.116% (6372/8960)              
 [========================================================>........] 36/40   Step: 377ms | Tot: 15s195ms | Loss: 1.278 | Acc: 71.115% (6554/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 15s568ms | Loss: 1.283 | Acc: 71.052% (6730/9472)              
 [============================================================>....] 38/40   Step: 372ms | Tot: 15s941ms | Loss: 1.275 | Acc: 71.155% (6922/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s313ms | Loss: 1.282 | Acc: 71.124% (7101/9984)              
 [===============================================================>.] 40/40   Step: 473ms | Tot: 16s787ms | Loss: 1.282 | Acc: 71.130% (7113/10000)

Epoch: 16
 [>................................................................] 1/79   Step: 1s922ms | Tot: 0ms | Loss: 0.043 | Acc: 99.609% (255/256)              
 [>................................................................] 2/79   Step: 965ms | Tot: 965ms | Loss: 0.041 | Acc: 99.609% (510/512)              
 [=>...............................................................] 3/79   Step: 963ms | Tot: 1s929ms | Loss: 0.050 | Acc: 99.219% (762/768)              
 [==>..............................................................] 4/79   Step: 965ms | Tot: 2s894ms | Loss: 0.052 | Acc: 99.316% (1017/1024)              
 [===>.............................................................] 5/79   Step: 1s121ms | Tot: 4s16ms | Loss: 0.056 | Acc: 98.984% (1267/1280)              
 [====>............................................................] 6/79   Step: 966ms | Tot: 4s982ms | Loss: 0.058 | Acc: 98.828% (1518/1536)              
 [====>............................................................] 7/79   Step: 983ms | Tot: 5s966ms | Loss: 0.056 | Acc: 98.884% (1772/1792)              
 [=====>...........................................................] 8/79   Step: 966ms | Tot: 6s932ms | Loss: 0.054 | Acc: 99.023% (2028/2048)              
 [======>..........................................................] 9/79   Step: 1s64ms | Tot: 7s997ms | Loss: 0.052 | Acc: 99.132% (2284/2304)              
 [=======>.........................................................] 10/79   Step: 966ms | Tot: 8s963ms | Loss: 0.052 | Acc: 99.180% (2539/2560)              
 [========>........................................................] 11/79   Step: 962ms | Tot: 9s926ms | Loss: 0.053 | Acc: 99.183% (2793/2816)              
 [=========>.......................................................] 12/79   Step: 963ms | Tot: 10s890ms | Loss: 0.053 | Acc: 99.186% (3047/3072)              
 [=========>.......................................................] 13/79   Step: 964ms | Tot: 11s854ms | Loss: 0.053 | Acc: 99.159% (3300/3328)              
 [==========>......................................................] 14/79   Step: 1s62ms | Tot: 12s916ms | Loss: 0.052 | Acc: 99.191% (3555/3584)              
 [===========>.....................................................] 15/79   Step: 962ms | Tot: 13s879ms | Loss: 0.052 | Acc: 99.141% (3807/3840)              
 [============>....................................................] 16/79   Step: 965ms | Tot: 14s844ms | Loss: 0.052 | Acc: 99.146% (4061/4096)              
 [=============>...................................................] 17/79   Step: 984ms | Tot: 15s828ms | Loss: 0.052 | Acc: 99.150% (4315/4352)              
 [=============>...................................................] 18/79   Step: 1s68ms | Tot: 16s897ms | Loss: 0.053 | Acc: 99.132% (4568/4608)              
 [==============>..................................................] 19/79   Step: 965ms | Tot: 17s862ms | Loss: 0.053 | Acc: 99.095% (4820/4864)              
 [===============>.................................................] 20/79   Step: 961ms | Tot: 18s823ms | Loss: 0.054 | Acc: 99.062% (5072/5120)              
 [================>................................................] 21/79   Step: 969ms | Tot: 19s793ms | Loss: 0.054 | Acc: 99.070% (5326/5376)              
 [=================>...............................................] 22/79   Step: 962ms | Tot: 20s755ms | Loss: 0.054 | Acc: 99.077% (5580/5632)              
 [==================>..............................................] 23/79   Step: 1s66ms | Tot: 21s822ms | Loss: 0.054 | Acc: 99.083% (5834/5888)              
